# Next line contains the total soma count (includes inactive):
24876
# Next line contains the total number of reported cells (selected_in_node + parents + children). 11 + 0 + 0 = 11.
11
# Next line contains the soma ids reported:
0 1 2 3 4 5 6 7 8 9 10 
# Next line contains the number of cycles:
1000
#Cycle [SomaId(0)_V SomaId(0)_F]...[SomaId(N)_V SomaId(N)_F] 
# Where F is bit flags: 0 = FIRED_STATE_NOTHING; 1 = FIRED_STATE_REGULAR; 2 = FIRED_STATE_FORCED; 4 = FIRED_STATE_BINARY; 8 = FIRED_STATE_SUPPRESSED.
#Cycle 0_V 0_F 1_V 1_F 2_V 2_F 3_V 3_F 4_V 4_F 5_V 5_F 6_V 6_F 7_V 7_F 8_V 8_F 9_V 9_F 10_V 10_F 
31 -73.439384 0 -74.378670 0 -72.934883 0 -74.245239 0 -72.795868 0 -74.390648 0 -72.811882 0 -74.171150 0 -72.746765 0 -74.269081 0 -73.463783 0 
32 -73.292709 0 -74.045494 0 -72.807312 0 -75.010033 0 -72.674034 0 -74.093430 0 -72.686104 0 -73.924919 0 -72.626495 0 -74.001724 0 -73.315643 0 
33 -73.136505 0 -73.778320 0 -72.671730 0 -75.312157 0 -73.534439 0 -73.843582 0 -72.554039 0 -73.703918 0 -72.498756 0 -73.768562 0 -73.158157 0 
34 -72.978355 0 -73.549187 0 -72.534431 0 -74.380363 0 -72.985733 0 -73.622215 0 -72.421097 0 -73.500084 0 -73.359398 0 -74.547195 0 -72.998878 0 
35 -73.812332 0 -73.343987 0 -72.398911 0 -73.820862 0 -72.617447 0 -73.419739 0 -72.290314 0 -73.309166 0 -72.821259 0 -73.893730 0 -72.841820 0 
36 -73.232216 0 -73.155319 0 -73.257080 0 -73.442169 0 -72.350700 0 -73.231079 0 -72.163338 0 -73.128815 0 -72.459518 0 -73.467674 0 -72.689110 0 
37 -72.846092 0 -72.979141 0 -72.723587 0 -73.160004 0 -72.144623 0 -73.053459 0 -72.041069 0 -72.957672 0 -72.198204 0 -73.160431 0 -72.541832 0 
38 -72.566963 0 -72.813179 0 -72.364876 0 -72.933167 0 -71.976662 0 -72.885269 0 -71.923927 0 -72.794899 0 -71.997452 0 -72.920074 0 -72.400490 0 
39 -72.350723 0 -72.656075 0 -72.106331 0 -72.740181 0 -71.833839 0 -72.725525 0 -71.812080 0 -72.639923 0 -71.835014 0 -72.719872 0 -72.265297 0 
40 -72.173508 0 -72.506966 0 -71.908501 0 -72.569366 0 -71.708443 0 -72.573593 0 -71.705566 0 -72.492325 0 -71.697945 0 -72.545403 0 -72.136261 0 
41 -72.021812 0 -72.365265 0 -71.749237 0 -72.414169 0 -71.595787 0 -72.428993 0 -71.604294 0 -72.351768 0 -71.578461 0 -72.388565 0 -72.013313 0 
42 -71.887741 0 -72.230537 0 -71.615555 0 -72.270767 0 -71.492912 0 -72.291382 0 -71.508156 0 -73.207962 0 -71.471786 0 -72.244720 0 -71.896309 0 
43 -71.766556 0 -72.102455 0 -71.499611 0 -72.136879 0 -71.397942 0 -72.160446 0 -71.416985 0 -72.676224 0 -71.374901 0 -72.111069 0 -71.785088 0 
44 -71.655327 0 -71.980713 0 -71.396553 0 -72.011086 0 -71.309608 0 -72.035912 0 -71.330627 0 -72.318718 0 -71.285835 0 -71.985901 0 -71.679459 0 
45 -71.552185 0 -71.865051 0 -71.303291 0 -71.892456 0 -71.227066 0 -71.917542 0 -71.248886 0 -72.061363 0 -71.203293 0 -71.868126 0 -71.579231 0 
46 -71.455917 0 -71.755234 0 -71.217827 0 -71.780334 0 -71.149689 0 -71.805099 0 -71.171593 0 -71.864883 0 -71.126381 0 -71.756989 0 -71.484207 0 
47 -71.365677 0 -71.651024 0 -71.138817 0 -71.674263 0 -71.077034 0 -71.698357 0 -71.098557 0 -71.707123 0 -71.054459 0 -71.651955 0 -71.394180 0 
48 -71.280876 0 -71.552200 0 -71.065346 0 -71.573868 0 -71.008720 0 -71.597092 0 -71.029587 0 -71.575066 0 -70.987045 0 -71.552612 0 -71.308960 0 
49 -71.201065 0 -71.458549 0 -70.996758 0 -71.478851 0 -70.944466 0 -71.501091 0 -70.964523 0 -71.460846 0 -70.923782 0 -71.458641 0 -71.228348 0 
50 -71.125893 0 -71.369858 0 -70.932564 0 -71.388931 0 -70.884026 0 -71.410149 0 -70.903168 0 -71.359558 0 -70.864365 0 -71.369759 0 -71.152153 0 
51 -71.055069 0 -71.285934 0 -70.872383 0 -71.303879 0 -70.827164 0 -71.324051 0 -70.845360 0 -71.268082 0 -70.808533 0 -71.285713 0 -71.080170 0 
52 -70.988335 0 -71.206566 0 -70.815918 0 -71.223465 0 -70.773689 0 -71.242607 0 -70.790932 0 -71.184387 0 -70.756081 0 -71.206268 0 -71.012230 0 
53 -70.925468 0 -71.131561 0 -70.762909 0 -71.147484 0 -70.723412 0 -71.165619 0 -70.739708 0 -71.107124 0 -70.706802 0 -71.131226 0 -70.948143 0 
54 -70.866264 0 -71.060722 0 -70.713150 0 -71.075737 0 -70.676163 0 -71.092888 0 -70.691536 0 -71.035355 0 -70.660522 0 -71.060379 0 -70.887726 0 
55 -70.810547 0 -70.993874 0 -70.666435 0 -71.008018 0 -70.631790 0 -70.824226 0 -70.646263 0 -70.368408 0 -70.417068 0 -70.793526 0 -70.830811 0 
56 -70.558113 0 -68.930832 0 -70.022583 0 -68.144157 0 -68.790123 0 -67.826843 0 -68.403740 0 -65.501839 0 -68.040421 0 -64.997635 0 -67.977234 0 
57 -68.374077 0 -64.465881 0 -67.169182 0 -65.272911 0 -66.068710 0 -62.430515 0 -66.380150 0 -62.279114 0 -66.293770 0 -61.835926 0 -67.097069 0 
58 -67.386337 0 -61.744240 0 -66.803757 0 -63.682243 0 -67.082703 0 -62.000153 0 -67.353088 0 -63.246498 0 -67.075874 0 -62.203270 0 -67.994621 0 
59 -67.210434 0 -56.704605 0 -64.310783 0 -53.229134 0 -60.343857 0 -44.190502 0 -58.566730 0 -44.030148 0 -58.138336 0 -44.605938 0 -58.915771 0 
60 -58.072525 0 -36.233601 0 -54.931038 0 -28.704100 0 -49.738834 0 -12.907574 0 -47.347263 0 -11.022513 0 -47.445904 0 -13.031425 0 -50.583836 0 
